2016-10-13 05:18:17,940 	 <Dispatcher> 	 Level 45 	 missing	1476314297	4723353.0	1.77163434029	206.812942505	728.3203125	-99.0	-99.0	-1.0	-1.0	4723353.0	
2016-10-13 05:18:17,947 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314297	50.0	212.0	216.0	436.0	-99.0	-99.0	-1.0	-1.0	50.0	
2016-10-13 05:18:57,946 	 <Dispatcher> 	 Level 45 	 missing	1476314337	3398793.25	4.67651510239	208.555969238	782.03125	-99.0	-99.0	-1.0	-1.0	3398793.25	
2016-10-13 05:18:57,954 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314337	45.0	209.0	219.0	441.0	-99.0	-99.0	-1.0	-1.0	45.0	
2016-10-13 05:19:37,959 	 <Dispatcher> 	 Level 45 	 missing	1476314377	3288793.0	1.61645793915	169.431747437	459.765625	-99.0	-99.0	-1.0	-1.0	3288793.0	
2016-10-13 05:19:37,967 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314377	12.0	176.0	203.0	411.0	-99.0	-99.0	-1.0	-1.0	12.0	
2016-10-13 05:20:17,956 	 <Dispatcher> 	 Level 45 	 missing	1476314417	4679177.5	1.74964368343	201.644058228	599.4140625	-99.0	-99.0	-1.0	-1.0	4679177.5	
2016-10-13 05:20:17,963 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314417	43.0	208.0	213.0	424.0	-99.0	-99.0	-1.0	-1.0	43.0	
2016-10-13 05:20:57,961 	 <Dispatcher> 	 Level 45 	 missing	1476314457	3595605.0	1.87033295631	169.431747437	502.734375	-99.0	-99.0	-1.0	-1.0	3595605.0	
2016-10-13 05:20:57,969 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314457	11.0	174.0	205.0	415.0	-99.0	-99.0	-1.0	-1.0	11.0	
2016-10-13 05:21:37,966 	 <Dispatcher> 	 Level 45 	 missing	1476314497	3471017.5	5.18923282623	201.644058228	792.7734375	-99.0	-99.0	-1.0	-1.0	3471017.5	
2016-10-13 05:21:37,974 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314497	42.0	205.0	218.0	442.0	-99.0	-99.0	-1.0	-1.0	42.0	
2016-10-13 05:22:17,972 	 <Dispatcher> 	 Level 45 	 missing	1476314537	4627655.0	2.67651224136	201.644058228	588.671875	-99.0	-99.0	-1.0	-1.0	4627655.0	
2016-10-13 05:22:17,979 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314537	44.0	211.0	215.0	423.0	-99.0	-99.0	-1.0	-1.0	44.0	
2016-10-13 05:22:57,976 	 <Dispatcher> 	 Level 45 	 missing	1476314577	3346353.0	1.22930693626	166.419342041	459.765625	-99.0	-99.0	-1.0	-1.0	3346353.0	
2016-10-13 05:22:57,984 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314577	14.0	174.0	203.0	411.0	-99.0	-99.0	-1.0	-1.0	14.0	
2016-10-13 05:23:37,984 	 <Dispatcher> 	 Level 45 	 missing	1476314617	4282653.5	3.41321802139	174.02015686	642.3828125	-99.0	-99.0	-1.0	-1.0	4282653.5	
2016-10-13 05:23:37,992 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314617	18.0	178.0	210.0	428.0	-99.0	-99.0	-1.0	-1.0	18.0	
2016-10-13 05:24:17,989 	 <Dispatcher> 	 Level 45 	 missing	1476314657	4034644.0	4.90071153641	185.056686401	717.578125	-99.0	-99.0	-1.0	-1.0	4034644.0	
